epoch,lr-Adam,step,train_loss,val_loss
,0.0005,0,,
0,,9,0.5624197721481323,
0,,19,0.36717700958251953,
0,,29,0.27900758385658264,
0,,39,0.24320951104164124,
0,,49,0.1778743714094162,
0,,59,0.15406492352485657,
0,,69,0.14018255472183228,
0,,79,0.12365464121103287,
0,,89,0.130593940615654,
0,,99,0.1096949428319931,
0,,109,0.0990506261587143,
0,,119,0.09684260189533234,
0,,129,0.0945814922451973,
0,,139,0.12271922826766968,
0,,149,0.08601086586713791,
0,,159,0.08264593780040741,
0,,169,0.12218988686800003,
0,,179,0.06898121535778046,
0,,189,0.06564847379922867,
0,,199,0.09807862341403961,
0,,209,0.06650771200656891,
0,,219,0.06672140955924988,
0,,229,0.05927470698952675,
0,,239,0.053811199963092804,
0,,249,0.09429217875003815,
0,,259,0.07368768751621246,
0,,269,0.1512686014175415,
0,,279,0.07689513266086578,
0,,289,0.09839530289173126,
0,,299,0.07316572219133377,
0,,309,0.09404408931732178,
0,,319,0.07249520719051361,
0,,329,0.10773558914661407,
0,,339,0.06644396483898163,
0,,349,0.05955081433057785,
0,,359,0.05224410444498062,
0,,369,0.05879456177353859,
0,,379,0.05441851541399956,
0,,389,0.0560583770275116,
0,,399,0.07128806412220001,
0,,409,0.07380758970975876,
0,,419,0.09539735317230225,
0,,429,0.06766233593225479,
0,,439,0.048216816037893295,
0,,449,0.07998071610927582,
0,,459,0.05677952617406845,
0,,469,0.05219343304634094,
0,,479,0.04394505172967911,
0,,489,0.05372050404548645,
0,,499,0.06496503949165344,
0,,509,0.07353460788726807,
0,,519,0.10570361465215683,
0,,529,0.06770059466362,
0,,539,0.08194302022457123,
0,,549,0.114182248711586,
0,,559,0.059790484607219696,
0,,569,0.05693909525871277,
0,,579,0.062174953520298004,
0,,589,0.06788365542888641,
0,,599,0.0860147476196289,
0,,609,0.06293844431638718,
0,,619,0.05418882891535759,
0,,629,0.09865713864564896,
0,,639,0.05376057326793671,
0,,649,0.08375382423400879,
0,,659,0.06317916512489319,
0,,669,0.10436715185642242,
0,,679,0.045366473495960236,
0,,689,0.04486113041639328,
0,,699,0.04536861553788185,
0,,709,0.04483446478843689,
0,,719,0.12108508497476578,
0,,729,0.04410824552178383,
0,,739,0.043369144201278687,
0,,749,0.04587026685476303,
0,,759,0.05453670769929886,
0,,769,0.06249859184026718,
0,,779,0.058755576610565186,
0,,789,0.11304871737957001,
0,,799,0.057461921125650406,
0,,809,0.0498083233833313,
0,,819,0.05432171747088432,
0,,829,0.061851829290390015,
0,,839,0.15889114141464233,
0,,849,0.04032590985298157,
0,,859,0.049255646765232086,
0,,869,0.043412014842033386,
0,,879,0.05712960660457611,
0,,889,0.07689957320690155,
0,,899,0.057024404406547546,
0,,909,0.07684165984392166,
0,,919,0.06298217177391052,
0,,929,0.052685413509607315,
0,,939,0.05038713663816452,
0,,949,0.08281064033508301,
0,,959,0.04755298048257828,
0,,969,0.060006242245435715,
0,,979,0.0604264922440052,
0,,989,0.06285770237445831,
0,,999,0.07208839058876038,
0,,1009,0.04870111122727394,
0,,1019,0.032590705901384354,
0,,1029,0.14440259337425232,
0,,1039,0.03363092243671417,
0,,1049,0.043992988765239716,
0,,1059,0.04539088159799576,
0,,1069,0.046163707971572876,
0,,1079,0.05374579876661301,
0,,1089,0.046606626361608505,
0,,1099,0.0653180256485939,
0,,1109,0.05391741171479225,
0,,1119,0.04222017899155617,
0,,1129,0.05997266620397568,
0,,1139,0.054596949368715286,
0,,1149,0.07232609391212463,
0,,1159,0.055427297949790955,
0,,1169,0.10754433274269104,
0,,1179,0.04724099487066269,
0,,1189,0.052641935646533966,
0,,1199,0.04892747104167938,
0,,1209,0.05867817625403404,
0,,1219,0.05651557445526123,
0,,1229,0.0465250164270401,
0,,1239,0.07032535970211029,
0,,1249,0.03912144899368286,
0,,1259,0.04492383822798729,
0,,1269,0.05390550196170807,
0,,1279,0.04871053248643875,
0,,1289,0.04066859930753708,
0,,1299,0.05820399895310402,
0,,1309,0.061613529920578,
