epoch,lr-Adam,step,train_loss
,0.001,0,
0,,9,0.5671546459197998
0,,19,0.31708407402038574
0,,29,0.21436738967895508
0,,39,0.1628025770187378
0,,49,0.17672941088676453
0,,59,0.11502113193273544
0,,69,0.10503315180540085
0,,79,0.12652312219142914
0,,89,0.08466188609600067
0,,99,0.08805355429649353
0,,109,0.07575418055057526
0,,119,0.09000110626220703
0,,129,0.08091607689857483
0,,139,0.09245040267705917
0,,149,0.10124995559453964
0,,159,0.08093520253896713
0,,169,0.08168390393257141
0,,179,0.05767742916941643
0,,189,0.09061839431524277
0,,199,0.1250937283039093
0,,209,0.10034002363681793
0,,219,0.08757468312978745
0,,229,0.08120609819889069
0,,239,0.09268157184123993
0,,249,0.10481055825948715
0,,259,0.09787257760763168
0,,269,0.07588423043489456
0,,279,0.08652191609144211
0,,289,0.13281521201133728
0,,299,0.0910012349486351
0,,309,0.06834015250205994
0,,319,0.07350348681211472
0,,329,0.07723239064216614
0,,339,0.13188773393630981
0,,349,0.0936661958694458
0,,359,0.09400027990341187
0,,369,0.10372667014598846
0,,379,0.09073613584041595
0,,389,0.1327999234199524
0,,399,0.08177965879440308
0,,409,0.07337581366300583
0,,419,0.06915242224931717
0,,429,0.0884627252817154
0,,439,0.049894221127033234
0,,449,0.07491229474544525
0,,459,0.07136647403240204
0,,469,0.06901821494102478
0,,479,0.0874326154589653
0,,489,0.09759218990802765
0,,499,0.10852854698896408
0,,509,0.07801001518964767
0,,519,0.09965364634990692
0,,529,0.0737002044916153
0,,539,0.056699253618717194
0,,549,0.06968654692173004
0,,559,0.04470381140708923
0,,569,0.04669266194105148
0,,579,0.05057156831026077
0,,589,0.061022114008665085
0,,599,0.04389939829707146
0,,609,0.04639015346765518
0,,619,0.05788460373878479
0,,629,0.05962977558374405
0,,639,0.054547470062971115
0,,649,0.07052631676197052
0,,659,0.10609100759029388
0,,669,0.07497977465391159
0,,679,0.07650893181562424
0,,689,0.06731556355953217
0,,699,0.08276540040969849
0,,709,0.06595088541507721
0,,719,0.10634990781545639
0,,729,0.08452655375003815
0,,739,0.08854394406080246
0,,749,0.09003385901451111
0,,759,0.08721091598272324
0,,769,0.06256808340549469
0,,779,0.05874825641512871
0,,789,0.06415052711963654
0,,799,0.055820733308792114
0,,809,0.044582467526197433
